Pais;Atur
Afghanistan;14,39
Albania;11,00
Algeria;12,70
American Samoa;18,00
Andorra;1,50
Angola;8,50
Anguilla;7,80
Antigua and Barbuda;11,00
Argentina;6,90
Armenia;13,00
Aruba;6,73
Australia;4,21
Austria;5,40
Azerbaijan;5,52
Bahamas;8,79
Bahrain;1,90
Bangladesh;5,20
Barbados;8,23
Belarus;3,04
Belgium;5,51
Belize;3,40
Benin;1,60
Bermuda;7,00
Bhutan;4,30
Bolivia;5,00
Bosnia and Herzegovina;13,30
Botswana;20,68
Brazil;7,50
British Virgin Islands;2,90
Brunei;4,90
Bulgaria;4,30
Burkina Faso;4,80
Burundi;1,80
Cambodia;0,60
Cameroon;3,90
Canada;6,32
Cape Verde;8,50
Cayman Islands;3,50
Central African Republic;6,60
Chad;1,90
Chile;8,71
China;5,10
Cocos (Keeling) Islands;6,70
Colombia;9,87
Comoros;9,40
Congo;5,60
DR Congo;5,40
Cook Islands;13,10
Costa Rica;8,29
Croatia;5,77
Cuba;2,80
Cyprus;5,86
Czech Republic;2,56
Denmark;4,89
Djibouti;27,93
Dominica;5,20
Dominican Republic;6,00
Timor-Leste;4,60
Ecuador;4,20
Egypt;7,07
El Salvador;5,50
Equatorial Guinea;9,20
Eritrea;8,00
Estonia;8,06
Eswatini;24,39
Ethiopia;3,70
Faroe Islands;0,50
Fiji;5,00
Finland;7,60
France;7,36
French Polynesia;14,40
Gabon;22,30
Gambia;11,20
Georgia;15,70
Germany;3,29
Ghana;4,70
Gibraltar;1,00
Greece;9,36
Greenland;6,80
Grenada;16,60
Guam;4,50
Guatemala;3,60
Guernsey;1,00
Guinea;6,30
Guinea-Bissau;6,80
Guyana;16,40
Haiti;15,70
Honduras;8,00
Hong Kong;2,81
Hungary;4,40
Iceland;3,84
India;7,80
Indonesia;5,20
Iran;8,90
Iraq;14,20
Ireland;4,38
Isle of Man;1,90
Israel;3,70
Italy;5,80
Ivory Coast;3,50
Jamaica;6,00
Japan;2,50
Jersey;1,60
Jordan;22,80
Kazakhstan;4,78
Kenya;5,70
Kiribati;8,60
Kuwait;3,70
Kyrgyzstan;9,01
Laos;1,30
Latvia;6,45
Lebanon;14,50
Lesotho;18,00
Liberia;4,10
Libya;19,60
Liechtenstein;1,50
Lithuania;6,30
Luxembourg;5,99
Macau;2,00
Madagascar;2,60
Malawi;7,00
Malaysia;3,52
Maldives;6,10
Mali;7,70
Malta;2,50
Marshall Islands;6,30
Mauritania;11,50
Mauritius;6,27
Mayotte;5,30
Mexico;2,80
Moldova;3,50
Monaco;2,00
Mongolia;5,43
Montenegro;11,00
Montserrat;5,60
Morocco;12,00
Mozambique;4,00
Myanmar;2,20
Namibia;21,70
Nauru;18,00
Nepal;5,10
Netherlands;3,90
New Caledonia;16,60
New Zealand;5,04
Nicaragua;6,76
Niger;0,80
Nigeria;4,10
Niue;10,70
North Korea;2,70
North Macedonia;14,10
Northern Mariana Islands;11,20
Norway;3,80
Oman;3,10
Pakistan;8,00
Palau;1,70
Palestine;24,00
Panama;8,40
Papua New Guinea;2,80
Paraguay;6,00
Peru;6,60
Philippines;4,50
Poland;2,93
Portugal;6,48
Puerto Rico;6,68
Qatar;0,30
Romania;5,60
Russia;3,12
Rwanda;16,50
Saint Helena;2,00
Saint Kitts and Nevis;5,10
Saint Lucia;20,15
Saint Pierre and Miquelon;8,70
Saint Vincent and the Grenadines;18,80
Samoa;9,80
San Marino;3,94
São Tomé and Príncipe;15,90
Saudi Arabia;4,80
Senegal;3,70
Serbia;9,40
Seychelles;3,00
Sierra Leone;5,30
Singapore;1,90
Slovakia;5,90
Slovenia;3,72
Somalia;19,90
South Africa;33,5
South Korea;3,00
South Sudan;13,90
Spain;12,29
Sri Lanka;4,30
Sudan;49,54
Suriname;10,30
Sweden;8,36
Switzerland;2,25
Syria;10,60
Taiwan;3,67
Tajikistan;7,80
Tanzania;2,60
Thailand;1,10
Togo;4,00
Tonga;4,00
Trinidad and Tobago;4,80
Tunisia;16,10
Turkey;8,50
Turkmenistan;5,10
Uganda;2,90
Ukraine;14,51
United Arab Emirates;3,40
United Kingdom;4,15
United States;4,20
Uruguay;8,09
Uzbekistan;7,85
Vanuatu;2,20
Venezuela;6,40
Vietnam;2,06
U.S. Virgin Islands;13,30
Wallis and Futuna;8,80
Yemen;13,60
Zambia;13,00
Zimbabwe;5,20
